Grad,ProsecnaZarada
Beograd,92331
Barajevo,65290
Vo¾dovac,94743
Vraèar,123426
Grocka,65164
Zvezdara,94658
Zemun,84398
Lazarevac,98955
Mladenovac,62813
Novi Beograd,116359
Obrenovac,77248
Palilula,83005
Rakovica,83909
Savski venac,107826
Sopot,62513
Stari grad,116450
Surèin,65627
Èukarica,88959
Sombor,66189
Apatin,63904
Kula,60748
Od¾aci,59596
Panèevo,74123
Alibunar,60238
Bela Crkva,58133
Vr¹ac,75128
Kovaèica,58352
Kovin,74979
Opovo,62278
Plandi¹te,61655
Novi Sad,82036
Baè,56652
Baèka Palanka,66445
Baèki Petrovac,62363
Beoèin,63524
Beèej,64170
Vrbas,64198
®abalj,59440
Srbobran,57441
Sremski Karlovci,69395
Temerin,64663
Titel,75783
Kikinda,68767
Ada,64919
Kanji¾a,62223
Novi Kne¾evac,62626
Senta,67859
Èoka,60718
Subotica,69444
Baèka Topola,65133
Mali Iðo¹,57278
Zrenjanin,72281
®iti¹te,63097
Nova Crnja,65027
Novi Beèej,60980
Seèanj,63674
Sremska oblast,66457
Sremska Mitrovica,68674
Inðija,68356
Irig,58912
Peæinci,65199
Ruma,65259
Stara Pazova,66990
©id,60710
U¾ice,70942
Arilje,56359
Bajina Ba¹ta,58563
Kosjeriæ,64196
Nova Varo¹,60056
Po¾ega,63525
Priboj,61081
Prijepolje,57305
Sjenica,60190
Èajetina,58085
Valjevo,66504
Lajkovac,90156
Ljig,69230
Mionica,58864
Oseèina,57665
Ub,70426
©abac,67046
Bogatiæ,59538
Vladimirci,57520
Koceljeva,58751
Krupanj,54566
Loznica,59654
Ljubovija,64675
Mali Zvornik,61166
Èaèak,63970
Gornji Milanovac,69106
Ivanjica,54714
Luèani,73283
Jagodina,60384
Despotovac,64214
Paraæin,61075
Rekovac,58432
Svilajnac,59343
Æuprija,60420
Kru¹evac,63868
Aleksandrovac,57807
Brus,56928
Varvarin,53190
Trstenik,57666
Æiæevac,56712
Kraljevo,63495
Vrnjaèka Banja,57345
Novi Pazar,56254
Ra¹ka,60028
Tutin,58350
Kragujevac,72552
Aranðelovac,67096
Batoèina,59444
Kniæ,62927
Lapovo,60507
Raèa,60536
Topola,59275
Bor,84395
Kladovo,68953
Majdanpek,78784
Negotin,63241
Po¾arevac,75849
Veliko Gradi¹te,58087
Golubac,57942
®abari,54298
®agubica,61028
Kuèevo,57918
Malo Crniæe,57745
Petrovac na Mlavi,56110
Zajeèar,65463
Boljevac,63210
Knja¾evac,55610
Sokobanja,60271
Leskovac,59247
Bojnik,52036
Vlasotince,52068
Lebane,54653
Medveða,65049
Crna Trava,56237
Ni¹,69779
Aleksinac,59671
Gad¾in Han,52556
Doljevac,55373
Mero¹ina,55048
Ra¾anj,53435
Svrljig,48195
Pirot,78394
Babu¹nica,61339
Bela Palanka,56896
Dimitrovgrad,56753
Smederevo,73025
Velika Plana,70082
Smederevska Palanka,63034
Vranje,62876
Bosilegrad,57245
Bujanovac,55770
Vladièin Han,60300
Pre¹evo,55470
Surdulica,60097
Trgovi¹te,59004
Prokuplje,63637
Blace,56854
®itoraða,59116
Kur¹umlija,59519
